lat,lng,area,year_bulit,price
37.5165554,127.0401523,85.76,2007,65000
37.5184513,127.0260846,31.98,2003,22800
37.5050867,127.0535451,33.06,2004,22000
37.5046357,127.0537683,25.7,2003,20700
37.4974379,127.0546508,60.73,2004,68500
37.5041752,127.0508066,32.0,2003,20750
37.5068882,127.0594621,30.11,2004,27500
37.5068882,127.0594621,26.73,2004,23700
37.4884268,127.0487168,139.63,2005,70000
37.4865636,127.0518625,35.2,1998,17200
37.4865636,127.0518625,45.93,1998,27300
37.5088132,127.0584029,89.11,2006,67500
37.5067193,127.0480917,35.69,2004,29500
37.5134842,127.0542909,26.77,2004,24000
37.4662684,127.1013704,42.5,2016,18000
37.4662684,127.1013704,46.05,2016,32000
37.4662684,127.1013704,46.05,2016,15750
37.4884539,127.1041867,33.52,2003,22000
37.4884539,127.1041867,58.82,2003,39200
37.4880124,127.1017665,38.79,2002,25000
37.4880124,127.1017665,151.54,2002,94500
37.5038143,127.0452671,72.96,1991,44000
37.4913788,127.0325348,27.9,2012,21500
37.4913788,127.0325348,24.56,2012,18900
37.4977328,127.0293062,24.63,2015,28950
37.5034322,127.0478401,28.1,2004,21600
37.5034322,127.0478401,29.65,2004,21500
37.5034322,127.0478401,29.65,2004,21800
37.4975548,127.0310993,38.96,2004,25300
37.4989873,127.0295617,31.33,2004,27600
37.5045835,127.0470845,29.09,1992,18000
37.4958318,127.0398461,24.48,2003,18000
37.4923947,127.0320219,44.76,2004,36000
37.5016976,127.0359878,44.92,1993,23000
37.5059318,127.0301712,20.35,2013,19200
37.4954004,127.0304071,58.28,2007,44500
37.4936637,127.0310253,64.64,2005,44000
37.498546,127.0350518,28.64,2004,20000
37.498546,127.0350518,36.24,2004,25700
37.498546,127.0350518,28.64,2004,19500
37.5086805,127.0395601,109.03,2007,68000
37.5016581,127.0356418,34.86,2001,16400
37.5017764,127.0439711,37.85,2003,19700
37.4984315,127.0317062,28.12,2004,20500
37.4971367,127.0303818,32.37,1999,18900
37.474419,127.1040475,43.77,2014,30000
37.4743853,127.1051324,23.72,2014,14500
37.4743853,127.1051324,29.87,2014,23200
37.5221931,127.0553206,30.36,1992,15700
37.5228249,127.0399538,31.92,2014,34200
37.5233978,127.0436752,133.72,2007,200000
37.5233978,127.0436752,133.72,2007,219000
37.5240994,127.0554295,21.9,1991,14500
37.5653777,127.1734362,22.27,2016,12500
37.5653777,127.1734362,22.27,2016,13000
37.5643885,127.1736826,18.47,2016,12997
37.5647735,127.1743151,28.96,2012,12100
37.5362397,127.1383351,18.76,2016,16000
37.5364952,127.1374721,18.26,2014,10800
37.5354423,127.1371247,19.24,2013,11200
37.5355511,127.1350021,47.43,2006,26100
37.5341917,127.135799,16.37,2014,11600
37.5553829,127.1297254,29.9,2003,13300
37.540127,127.1245839,96.72,2008,42000
37.5399445,127.1234896,27.45,2004,12000
37.5370383,127.1304302,76.74,2007,33800
37.5411639,127.1239858,32.67,2004,14000
37.5406209,127.1249482,95.26,2007,38500
37.5406209,127.1249482,95.26,2007,39400
37.5394485,127.1271129,31.37,2004,15000
37.5385123,127.1321739,20.24,2002,8500
37.5385123,127.1321739,20.24,2002,8700
37.540284,127.1234973,34.2,2004,16900
37.5372567,127.1295007,26.33,2003,13300
37.5372567,127.1295007,28.43,2003,14300
37.5371829,127.1338904,23.12,2003,11000
37.5366362,127.1313529,20.48,1994,9000
37.6370605,127.0252195,36.9,1991,12500
37.6370605,127.0252195,40.02,1991,13500
37.6349277,127.0239955,37.8,2010,20000
37.6349277,127.0239955,17.85,2010,10000
37.6386647,127.0270629,29.1,2005,14500
37.6337852,127.0228584,27.98,2005,10100
37.6364455,127.0234533,30.49,2005,12700
37.6364455,127.0234533,34.13,2005,14500
37.5636989,126.8508676,26.96,2003,13000
37.5636989,126.8508676,24.36,2003,12250
37.562629,126.8530037,30.24,2002,12900
37.5632629,126.8526809,30.6,2003,14400
37.5632629,126.8526809,32.8,2003,15500
37.5632629,126.8526809,30.6,2003,13800
37.5632629,126.8526809,30.6,2003,14250
37.563606,126.851185,25.64,2004,11800
37.5618323,126.8089047,27.34,2005,10000
37.5612117,126.8092798,24.57,2011,9800
37.5568792,126.8559162,35.04,1995,7400
37.5585733,126.8561662,77.2,2005,27500
37.5585733,126.8561662,57.96,2005,24500
