traffic,area,year_built,price
17353672,85.76,2007,65000
17353672,31.98,2003,22800
25803491,33.06,2004,22000
25803491,25.7,2003,20700
16532971,60.73,2004,68500
25803491,32.0,2003,20750
25803491,30.11,2004,27500
25803491,26.73,2004,23700
16532971,139.63,2005,70000
16532971,35.2,1998,17200
16532971,45.93,1998,27300
25803491,89.11,2006,67500
25803491,35.69,2004,29500
26683580,26.77,2004,24000
0,42.5,2016,18000
0,46.05,2016,32000
0,46.05,2016,15750
11910696,33.52,2003,22000
11910696,58.82,2003,39200
11910696,38.79,2002,25000
11910696,151.54,2002,94500
25803491,72.96,1991,44000
43884743,27.9,2012,21500
43884743,24.56,2012,18900
43884743,24.63,2015,28950
25803491,28.1,2004,21600
25803491,29.65,2004,21500
25803491,29.65,2004,21800
43884743,38.96,2004,25300
35080031,31.33,2004,27600
25803491,29.09,1992,18000
43884743,24.48,2003,18000
43884743,44.76,2004,36000
35080031,44.92,1993,23000
35080031,20.35,2013,19200
43884743,58.28,2007,44500
43884743,64.64,2005,44000
43884743,28.64,2004,20000
43884743,36.24,2004,25700
43884743,28.64,2004,19500
35080031,109.03,2007,68000
35080031,34.86,2001,16400
25803491,37.85,2003,19700
43884743,28.12,2004,20500
43884743,32.37,1999,18900
0,43.77,2014,30000
0,23.72,2014,14500
0,29.87,2014,23200
26683580,30.36,1992,15700
17353672,31.92,2014,34200
6254591,133.72,2007,200000
6254591,133.72,2007,219000
6254591,21.9,1991,14500
0,22.27,2016,12500
0,22.27,2016,13000
0,18.47,2016,12997
0,28.96,2012,12100
7016569,18.76,2016,16000
7016569,18.26,2014,10800
9461158,19.24,2013,11200
9461158,47.43,2006,26100
9461158,16.37,2014,11600
6683579,29.9,2003,13300
23840873,96.72,2008,42000
23840873,27.45,2004,12000
23840873,76.74,2007,33800
23840873,32.67,2004,14000
23840873,95.26,2007,38500
23840873,95.26,2007,39400
23840873,31.37,2004,15000
23840873,20.24,2002,8500
23840873,20.24,2002,8700
23840873,34.2,2004,16900
23840873,26.33,2003,13300
23840873,28.43,2003,14300
23840873,23.12,2003,11000
23840873,20.48,1994,9000
17955434,36.9,1991,12500
17955434,40.02,1991,13500
17955434,37.8,2010,20000
17955434,17.85,2010,10000
17955434,29.1,2005,14500
7179564,27.98,2005,10100
17955434,30.49,2005,12700
17955434,34.13,2005,14500
8266811,26.96,2003,13000
8266811,24.36,2003,12250
8266811,30.24,2002,12900
8266811,30.6,2003,14400
8266811,32.8,2003,15500
8266811,30.6,2003,13800
8266811,30.6,2003,14250
8266811,25.64,2004,11800
10111738,27.34,2005,10000
10111738,24.57,2011,9800
7136731,35.04,1995,7400
7136731,77.2,2005,27500
7136731,57.96,2005,24500
7136731,17.34,2013,10400
7136731,18.24,2013,10800
8266811,27.29,2004,16900
7136731,28.45,2004,16000
11152253,38.98,2003,13600
7136731,70.18,2004,22000
7136731,40.37,2004,16200
7136731,36.99,2004,15000
7136731,31.54,2004,14300
4238955,85.18,2005,31000
4238955,17.96,2015,11500
10111738,21.42,2001,7100
2912105,16.29,2003,6050
2912105,24.9,2003,8600
2912105,16.29,2003,6350
2912105,16.29,2003,6400
2912105,17.64,2003,7200
13422269,28.03,2003,11300
13422269,28.03,2003,10800
13422269,19.2,2003,8100
7854847,15.04,2012,14000
0,30.0,1998,8600
0,19.12,2013,7000
0,19.12,2013,7000
0,19.94,2013,7000
0,19.12,2013,7000
0,18.14,2013,6500
0,19.12,2013,7000
0,19.94,2013,7000
0,19.12,2013,7000
0,19.94,2013,7000
0,19.12,2013,7000
0,19.94,2013,6700
0,19.94,2013,7000
0,18.14,2013,6300
0,19.94,2013,6500
0,19.12,2013,6500
0,19.12,2013,6500
0,19.12,2013,7000
0,18.14,2013,6500
7136731,18.97,2012,10000
7136731,18.97,2012,9950
11415908,34.83,1995,6200
11415908,21.26,2013,10000
0,65.0,2008,15000
61583634,25.05,2005,17400
61583634,26.18,2005,18300
61583634,27.15,2005,17700
61583634,16.1,2002,12000
20844138,15.9,2003,12400
20844138,15.9,2003,13000
20844138,23.36,2003,8900
20844138,19.25,2003,8350
20844138,19.06,2012,13500
20844138,18.7,2013,15600
20844138,30.25,2003,14200
61583634,24.24,2004,17300
20844138,20.5,2012,17000
20844138,14.55,2012,11000
20844138,49.27,2006,27900
20844138,36.93,2006,21700
20844138,49.68,2005,28000
20844138,15.28,1998,8200
20844138,15.1,2005,8150
20844138,18.24,2010,12000
0,23.84,2003,9500
0,27.38,2003,10000
11179098,21.2,2002,9700
11179098,19.22,2002,9700
