name,line_num,lat,lng,ride,alight 
신논현,9호선,37.504598,127.02506,871158,874963
언주,9호선2단계,37.507287,127.033868,228139,226821
선정릉,9호선2단계,37.51098,127.043593,191720,197430
삼성중앙,9호선2단계,37.513011,127.053282,134717,139930
봉은사,9호선2단계,37.514219,127.060245,356794,347835
종합운동장,9호선2단계,37.510997,127.073642,171352,138170
서울역,경부선,37.554648,126.972559,11,0
남영,경부선,37.541021,126.9713,308712,327910
용산,경부선,37.529849,126.964561,1171708,1166794
노량진,경부선,37.514219,126.942454,502454,469764
대방,경부선,37.513342,126.926382,442845,439360
영등포,경부선,37.515504,126.907628,1530934,1615131
신도림,경부선,37.508725,126.891295,104005,105635
신길,경부선,37.517122,126.917169,295094,239420
구로,경부선,37.503039,126.881966,613134,633442
가산디지털단지,경부선,37.481072,126.882343,444471,536269
금천구청,경부선,37.455626,126.89398,329284,308058
독산,경부선,37.466613,126.889249,459016,479806
이촌(국립중앙박물관),경원선,37.522272,126.974345,130082,99618
서빙고,경원선,37.519594,126.988537,60042,61400
한남,경원선,37.52943,127.009169,125664,124154
옥수,경원선,37.540685,127.017965,1536,885
응봉,경원선,37.549946,127.034538,54728,45910
왕십리(성동구청),경원선,37.561533,127.037732,476360,541514
청량리(서울시립대입구),경원선,37.580178,127.046835,447165,498385
외대앞,경원선,37.596073,127.063549,322967,306452
신이문,경원선,37.601854,127.067325,278377,245990
석계,경원선,37.614805,127.065851,302555,336379
광운대,경원선,37.623632,127.061835,258638,241560
월계,경원선,37.633212,127.058831,137111,124517
녹천,경원선,37.644799,127.051269,145161,118833
창동,경원선,37.653166,127.047731,2,0
방학,경원선,37.667503,127.044273,289322,280317
도봉,경원선,37.679563,127.045595,185149,177320
도봉산,경원선,37.689313,127.046222,220831,137638
서울역,1호선,37.554648,126.972559,1750499,1531764
시청,1호선,37.564718,126.977108,726514,718844
종각,1호선,37.570161,126.982923,1372656,1283605
종로3가,1호선,37.571607,126.991806,1045153,979495
종로5가,1호선,37.570926,127.001849,755368,746610
동대문,1호선,37.57142,127.009745,444100,503536
신설동,1호선,37.575297,127.025087,446444,435765
제기동,1호선,37.578103,127.034893,591344,610580
청량리(서울시립대입구),1호선,37.580178,127.046835,846944,873385
동묘앞,1호선,37.572627,127.016429,277284,294207
시청,2호선,37.564718,126.977108,707877,669962
을지로입구,2호선,37.566014,126.982618,1477278,1460462
을지로3가,2호선,37.566295,126.99191,589822,578881
을지로4가,2호선,37.566941,126.998079,367324,353039
동대문역사문화공원,2호선,37.565138,127.007896,500393,580043
신당,2호선,37.565972,127.01782,427217,451301
상왕십리,2호선,37.564354,127.029354,334189,318494
왕십리(성동구청),2호선,37.561533,127.037732,554924,464425
한양대,2호선,37.555273,127.043655,228411,252506
